# Global Device Properties,,,,,,,,,,,
# see Copyright,,,,,,,,,,,
,,,,,,,,,,,
# Keyboards,,,,,,,,,,,
]kb,KBTable,None,,,,,,,,,
*,*device,keys,wheels,levers,faders,dials,switches,buttons,pedals,,
*,*device,ident,name,xmit,values,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
!END,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]sam,,,,,,,,,,,
*,:model,polyphony,timbrality,max_ram,rate,keygroups,lfo_std,lfo_opt,env_std,env_opt,
|,S1000,32,16,8,44.1,,2,0,2,0,
|,S2000,32,16,32,44.1,,2,1,2,1,
|,S3000XL,32,16,32,44.1,,2,1,2,1,
,,,,,,,,,,,
]rom,,,,,,,,,,,
*,model,soundset,preset_sounds,user_sounds,preset_multis,user_multis,drumkits,parts,polyphony,modulation,effects
|,DB50XG,GM;XG,676,0,,,21,16,32,XG,XG
|,DB50QS,QS300,0,32,,,0,,,,
|,KingKorg,KingKorg,200,100,,,,2,24,,
|,MU10XG,GM;XG,676,0,,,21,16,32,XG,XG
|,MU100,GM;XG;TG300,1313,0,,,21,32,64,XG,XG
|,NanoSynth,GM;Quadra,512,127,0,0,,16,64,,
|,QY70XG,GM;XG,519,,0,0,20,16,32,XG,XG
|,VR-09.Organ,VR-09;Organ,,,0,100,,,,,
|,VR-09.GM2,GM;GM2,256,0,,,,,,,
,,,,,,,,,,,
# misc tone generators,,,,,,,,,,,
]syn,,,,,,,,,,,
*,model,engines,preset_sounds,user_sounds,preset_multis,user_multis,drumkits,parts,polyphony,osc,filters
|,mopho,AN,0,,0,0,0,1,1,5,1
|,refaceCS,VA,1,,0,0,0,1,8,1,
|,refaceYC,WHEEL,5,0,0,0,0,1,64,0,
|,DX100,FM,32,24,0,0,0,1,8,4,
|,MU10QS,VA,0,32,0,0,0,16,32,,
,,,,,,,,,,,
,,,,,,,,,,,
]modulation,,,,,,,,,,,
*,model,lfo,opt_lfo,env,opt_env,,,,,,
,,,,,,,,,,,
]seq,,,,,,,,,,,
*,model,sequences,tracks,songs,,,,,,,
|,QY70,20,16,20,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]pseq,model,preset_patterns,patterns,tracks,min_len,max_len,,,,,
*,,,,,,,,,,,
|,QY70,4167,364,8,1,8,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
]ctrl,model,patches,mask_hi,mask_mid,mask_lo,,,,,,
*,,,,,,,,,,,
|,FCB1010,100,0x00,0x00,0x0F,,,,,,
,,,,,,,,,,,
]efx,model,unit,patches,inputs,output,mask_hi,mask_mid,mask_lo,,,
*,,,,,,,,,,,
|,AdrenalinnIII,,200,1,2,,,,,,
|,MU10XG.rev,reverb,1,2,2,,,,,,
|,MU10XG.cho,chorus,1,2,2,,,,,,
|,MU10XG.var,variation,1,2,2,,,,,,
,,,,,,,,,,,
]drum,,,,,,,,,,,
*,model,patterns,songs,,,,,,,,
|,rsd.a3,200,0,,,,,,,,
